threshold,F1,precision,recall,FN,FP,cost_5FN_FP
0.05,0.5201,0.3565,0.961,41,1821,2026
0.06,0.5217,0.3612,0.939,64,1744,2064
0.07,0.5273,0.3695,0.92,84,1648,2068
0.08,0.5301,0.3771,0.8924,113,1548,2113
0.09,0.531,0.3833,0.8638,143,1459,2174
0.1,0.5333,0.3923,0.8324,176,1354,2234
0.11,0.5347,0.4006,0.8038,206,1263,2293
0.12,0.5368,0.4101,0.7771,234,1174,2344
0.13,0.5415,0.4212,0.7581,254,1094,2364
0.14,0.548,0.4351,0.74,273,1009,2374
0.15,0.5512,0.4465,0.72,294,937,2407
0.16,0.5568,0.4602,0.7048,310,868,2418
0.17,0.5571,0.4696,0.6848,331,812,2467
0.18,0.5611,0.4819,0.6714,345,758,2483
0.19,0.567,0.4975,0.659,358,699,2489
0.2,0.5682,0.5079,0.6448,373,656,2521
0.21,0.574,0.5249,0.6333,385,602,2527
0.22,0.5752,0.5357,0.621,398,565,2555
0.23,0.5824,0.5536,0.6143,405,520,2545
0.24,0.5898,0.5739,0.6067,413,473,2538
0.25,0.5931,0.5928,0.5933,427,428,2563
0.26,0.5959,0.6065,0.5857,435,399,2574
0.27,0.5961,0.6197,0.5743,447,370,2605
0.28,0.596,0.6274,0.5676,454,354,2624
0.29,0.5991,0.644,0.56,462,325,2635
0.3,0.6044,0.6644,0.5543,468,294,2634
0.31,0.6065,0.6752,0.5505,472,278,2638
0.32,0.6094,0.693,0.5438,479,253,2648
0.33,0.6106,0.704,0.539,484,238,2658
0.34,0.6135,0.7187,0.5352,488,220,2660
0.35,0.6167,0.7326,0.5324,491,204,2659
0.36,0.6164,0.7449,0.5257,498,189,2679
0.37,0.6133,0.7514,0.5181,506,180,2710
0.38,0.6122,0.7581,0.5133,511,172,2727
0.39,0.6088,0.767,0.5048,520,161,2761
0.4,0.6066,0.7709,0.5,525,156,2781
0.41,0.6089,0.7809,0.499,526,147,2777
0.42,0.6094,0.7894,0.4962,529,139,2784
0.43,0.6094,0.7969,0.4933,532,132,2792
0.44,0.6114,0.8088,0.4914,534,122,2792
0.45,0.6111,0.8156,0.4886,537,116,2801
0.46,0.6072,0.8177,0.4829,543,113,2828
0.47,0.6028,0.821,0.4762,550,109,2859
0.48,0.6022,0.8245,0.4743,552,106,2866
0.49,0.6015,0.8305,0.4714,555,101,2876
0.5,0.6012,0.8356,0.4695,557,97,2882
